id,nom,latitude,longitude,depart,latitude_depart,longitude_depart,gpx_filename
bellewaerde,Bellewaerde,50.845810,2.949768,Lille,50.6367,3.0635,Bellewaerde.gpx
pairi_daiza,Pairi Daiza,50.590627,3.893746,Lille,50.6367,3.0635,Pairi_Daiza.gpx
famiflora,Famiflora,50.717576,3.282815,Lille,50.6367,3.0635,Famiflora.gpx
tournai,Tournai (Grand-Place),50.606400,3.386625,Lille,50.6367,3.0635,Tournai.gpx
mont_noir,Mont Noir (Zwarteberg),50.782355,2.742627,Lille,50.6367,3.0635,Mont_Noir.gpx
charleroi_aeroport,Aeroport de Charleroi,50.471744,4.473366,Lille,50.6367,3.0635,Charleroi_Aeroport.gpx
mouscron_grandplace,Mouscron (Grand-Place),50.743954,3.214896,Lille,50.6367,3.0635,Mouscron_GrandPlace.gpx
floralux_dadizele,Floralux Dadizele,50.840552,3.113505,Lille,50.6367,3.0635,Floralux_Dadizele.gpx
zaventem,Aeroport de Zaventem,50.901389,4.484444,Lille,50.6367,3.0635,Zaventem.gpx
dunkerque_courtrai,Courtrai,50.828000,3.264900,Dunkerque,51.0347,2.3773,Dunkerque_Courtrai.gpx
dunkerque_bellewaerde,Bellewaerde,50.845810,2.949768,Dunkerque,51.0347,2.3773,Dunkerque_Bellewaerde.gpx
dunkerque_floralux_dadizele,Floralux Dadizele,50.840552,3.113505,Dunkerque,51.0347,2.3773,Dunkerque_Floralux_Dadizele.gpx
valenciennes_zaventem,Aeroport de Zaventem,50.901389,4.484444,Valenciennes,50.3572,3.5232,Valenciennes_Zaventem.gpx
valenciennes_charleroi_aeroport,Aeroport de Charleroi,50.471744,4.473366,Valenciennes,50.3572,3.5232,Valenciennes_Charleroi_Aeroport.gpx
